Algoritmo;TipoEntrada;Tamanho;TempoSegundos;MemoriaKB;ComplexidadeTeorica;Sucesso
HeapSort;reversa;100;0.0001654999996389961;0.2734375;O(n log n);True
QuickSort;reversa;100;0.0003569999998944695;2.7421875;O(n log n) médio, O(n²) pior;True
MergeSort;reversa;100;0.0003772999998545856;1.984375;O(n log n);True
BubbleSort;reversa;100;0.0006600000006073969;0.109375;O(n²);True
SelectionSort;reversa;100;0.00028449999990698416;0.109375;O(n²);True
InsertionSort;reversa;100;0.0005602000001090346;0.078125;O(n²);True
TimSort;reversa;100;6.70000008540228e-06;0.8515625;O(n log n);True
HeapSort;aleatoria;100;0.00015799999982846202;0.2734375;O(n log n);True
QuickSort;aleatoria;100;0.00046039999961067224;3.6328125;O(n log n) médio, O(n²) pior;True
MergeSort;aleatoria;100;0.00043790000017907005;1.7890625;O(n log n);True
BubbleSort;aleatoria;100;0.00045110000064596534;0.109375;O(n²);True
SelectionSort;aleatoria;100;0.00027860000045620836;0.109375;O(n²);True
InsertionSort;aleatoria;100;0.00024329999996552942;0.078125;O(n²);True
TimSort;aleatoria;100;1.1699999959091656e-05;0.8515625;O(n log n);True
HeapSort;parcialmente_ordenada;100;0.0001557000005050213;0.2734375;O(n log n);True
QuickSort;parcialmente_ordenada;100;0.0003808999999819207;3.046875;O(n log n) médio, O(n²) pior;True
MergeSort;parcialmente_ordenada;100;0.00037199999951553764;1.8046875;O(n log n);True
BubbleSort;parcialmente_ordenada;100;0.000557200000002922;0.109375;O(n²);True
SelectionSort;parcialmente_ordenada;100;0.00045899999986431794;0.109375;O(n²);True
InsertionSort;parcialmente_ordenada;100;7.119999918359099e-05;0.078125;O(n²);True
TimSort;parcialmente_ordenada;100;1.3099999705445953e-05;0.8515625;O(n log n);True
HeapSort;muitas_duplicatas;100;0.0001446999995096121;0.2734375;O(n log n);True
QuickSort;muitas_duplicatas;100;0.00010699999984353781;2.6015625;O(n log n) médio, O(n²) pior;True
MergeSort;muitas_duplicatas;100;0.0003584000005503185;1.796875;O(n log n);True
BubbleSort;muitas_duplicatas;100;0.0004669999998441199;0.109375;O(n²);True
SelectionSort;muitas_duplicatas;100;0.00030810000043857144;0.109375;O(n²);True
InsertionSort;muitas_duplicatas;100;0.00021830000059708254;0.078125;O(n²);True
